conmedic,partyid,region,id,age,sex,race,degree
 2, 2, 3, 646,69, 1, 1, 2
 2, 3, 3, 647,62, 1, 1, 3
.i, 4, 3, 648,25, 1, 1, 1
 2, 3, 3, 649,25, 2, 1, 2
 2, 6, 3, 650,22, 1, 1, 1
 1, 0, 3, 651,82, 2, 1, 3
.i, 0, 3, 652,76, 2, 1, 1
.i, 0, 3, 653,35, 2, 1, 1
 2, 6, 3, 654,69, 2, 3, 3
 1, 5, 3, 655,76, 2, 1, 1
 3, 7, 3, 656,31, 1, 1, 1
.i, 3, 3, 657,50, 1, 1, 4
.i, 3, 3, 658,52, 1, 1, 1
